Target Distance:20,Step Size:2
0:(x,y) = (0,0)
1:(x,y) = (-1.99726,0.104672)
2:(x,y) = (-2.874,-1.69292)
3:(x,y) = (-1.99726,0.104672)
4:(x,y) = (-3.85163,-0.644541)
5:(x,y) = (-1.87109,-0.922887)
6:(x,y) = (-2.84071,-2.67213)
7:(x,y) = (-1.0587,-3.58011)
8:(x,y) = (-1.26775,-1.59106)
9:(x,y) = (-3.06534,-0.714322)
10:(x,y) = (-4.26897,0.882949)
11:(x,y) = (-2.55464,-0.147127)
12:(x,y) = (-2.97046,1.80917)
13:(x,y) = (-2.97046,3.80917)
14:(x,y) = (-4.97016,3.84407)
15:(x,y) = (-4.52025,1.89533)
16:(x,y) = (-2.53516,2.13907)
17:(x,y) = (-0.655776,1.45503)
18:(x,y) = (-0.071033,3.36764)
19:(x,y) = (-1.04065,5.11688)
20:(x,y) = (-2.35277,3.60746)
21:(x,y) = (-2.87041,1.67561)
22:(x,y) = (-0.885316,1.91935)
23:(x,y) = (-2.4174,0.633773)
24:(x,y) = (-2.03579,2.59703)
25:(x,y) = (-0.113264,2.04575)
26:(x,y) = (0.70021,3.87284)
27:(x,y) = (0.0490734,5.76388)
28:(x,y) = (1.68738,6.91103)
29:(x,y) = (0.0490734,8.05819)
30:(x,y) = (-1.38961,9.4475)
31:(x,y) = (-1.21529,11.4399)
32:(x,y) = (-2.94735,12.4399)
33:(x,y) = (-3.63139,10.5605)
34:(x,y) = (-5.0207,11.9992)
35:(x,y) = (-7.00975,12.2082)
36:(x,y) = (-8.39906,10.7696)
37:(x,y) = (-10.3963,10.6649)
38:(x,y) = (-8.93361,12.0289)
39:(x,y) = (-9.8416,10.2469)
40:(x,y) = (-11.8389,10.1422)
41:(x,y) = (-13.2531,8.72799)
42:(x,y) = (-12.5039,6.87362)
43:(x,y) = (-10.8858,8.04919)
44:(x,y) = (-12.8554,7.7019)
45:(x,y) = (-14.141,9.23399)
46:(x,y) = (-13.5563,11.1466)
47:(x,y) = (-13.5563,13.1466)
After 48 steps,the subject has the following location:
(x,y) = (-15.019,14.5106)
or
(m,a) = (20.8837,135.986)
Average outward distance per step = 0.435076
0:(x,y) = (0,0)
1:(x,y) = (-1.9997,0.0349048)
2:(x,y) = (-2.20875,-1.95414)
3:(x,y) = (-3.32714,-0.296064)
4:(x,y) = (-1.51452,-1.1413)
5:(x,y) = (-2.9532,0.248016)
6:(x,y) = (-2.36846,2.16063)
7:(x,y) = (-4.36724,2.23042)
8:(x,y) = (-2.65291,3.2605)
9:(x,y) = (-1.74492,5.04251)
10:(x,y) = (-0.168903,3.81119)
11:(x,y) = (1.52719,2.75135)
12:(x,y) = (-0.37492,3.36939)
13:(x,y) = (0.374293,1.51502)
14:(x,y) = (1.15576,3.35603)
15:(x,y) = (2.75303,4.55966)
16:(x,y) = (3.43707,6.43904)
17:(x,y) = (4.02181,8.35165)
18:(x,y) = (3.40378,6.44954)
19:(x,y) = (3.88762,8.39013)
20:(x,y) = (2.88762,10.1222)
21:(x,y) = (1.76923,11.7803)
22:(x,y) = (1.49089,9.79972)
23:(x,y) = (-0.241163,8.79972)
24:(x,y) = (-1.97321,7.79972)
25:(x,y) = (-3.84037,7.08299)
26:(x,y) = (-4.32422,9.02358)
27:(x,y) = (-6.05627,8.02358)
28:(x,y) = (-4.09301,7.64196)
29:(x,y) = (-5.82507,6.64196)
30:(x,y) = (-6.91434,8.3193)
31:(x,y) = (-5.45164,6.9553)
32:(x,y) = (-6.45164,5.22325)
33:(x,y) = (-4.45651,5.36277)
34:(x,y) = (-5.68783,6.93879)
35:(x,y) = (-6.10365,8.89508)
36:(x,y) = (-5.68783,6.93879)
37:(x,y) = (-7.51492,6.12531)
38:(x,y) = (-8.74625,7.70134)
39:(x,y) = (-6.96423,6.79335)
40:(x,y) = (-5.00098,6.41174)
41:(x,y) = (-6.79857,7.28848)
42:(x,y) = (-4.84227,7.7043)
43:(x,y) = (-6.84105,7.7741)
44:(x,y) = (-8.66814,8.58757)
45:(x,y) = (-6.88613,7.67959)
46:(x,y) = (-5.97815,9.46161)
47:(x,y) = (-4.51544,8.09761)
48:(x,y) = (-2.57485,8.58145)
49:(x,y) = (-0.589758,8.82519)
50:(x,y) = (-2.02844,10.2145)
51:(x,y) = (-0.0651831,10.5961)
52:(x,y) = (-1.8778,11.4414)
